vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
TOTAL,REFERENCE,+1.00000000000000002e-03,12,+1.00000000000000002e-03,6,RE,-2.88582017883593784e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,12,+1.00000000000000002e-03,6,IM,+1.54379741685652993e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,2,RE,+1.08904351835632449e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,2,IM,+3.47189734960706383e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,4,RE,-3.02974983933382781e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,4,IM,+2.46548241681413331e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,6,RE,-6.65358195531505408e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,13,+1.21152765862858765e-03,6,IM,+1.46723317460587819e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,2,RE,-4.78684368311953998e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,2,IM,+3.38004724983099217e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,4,RE,+3.95031547670630653e-30
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,4,IM,+2.35883616205392930e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,6,RE,-2.16098006328704126e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,14,+1.46779926762206914e-03,6,IM,+1.37990706405666520e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,2,RE,-2.11061510240473103e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,2,IM,+3.27287666824320383e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,4,RE,-1.46784547250235300e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,4,IM,+2.23650223445043443e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,6,RE,-2.41087729846033351e-29
TOTAL,REFERENCE,+1.00000000000000002e-03,15,+1.77827941003892275e-03,6,IM,+1.28151307526011985e-13
TOTAL,REFERENCE,+1.00000000000000002e-03,16,+2.15443469003188210e-03,2,RE,-3.51162806155133686e-29
