vector_class,lambda_index,lambda_m,gap_index,gap_m,harmonic,quadrature,value_N_m
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,6,RE,-1.80019126862394038e-281
YUKAWA,GRID_00,+1.00000000000000008e-05,21,+5.62341325190349097e-03,6,IM,+3.63566142392678870e-269
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,2,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,2,IM,+2.54443807608241970e-321
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,4,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,4,IM,+5.07899483924801447e-321
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,6,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,22,+6.81292069057960834e-03,6,IM,+7.60367028949678431e-321
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,2,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,2,IM,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,4,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,4,IM,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,6,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,23,+8.25404185268018183e-03,6,IM,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,2,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,2,IM,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,4,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,4,IM,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,6,RE,+0.00000000000000000e+00
YUKAWA,GRID_00,+1.00000000000000008e-05,24,+1.00000000000000002e-02,6,IM,+0.00000000000000000e+00
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,2,RE,+3.57124989205222794e-40
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,2,IM,+1.52336482814581914e-27
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,4,RE,+3.54740670574754458e-40
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,4,IM,+3.04287654929699176e-27
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,6,RE,+3.49984462163440891e-40
YUKAWA,GRID_01,+1.46779926762207055e-05,0,+1.00000000000000005e-04,6,IM,+4.55469310473761283e-27
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,2,RE,+8.42246770554985452e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,2,IM,+3.60461802575727569e-28
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,4,RE,+8.31740321805355595e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,4,IM,+7.20011389823647331e-28
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,6,RE,+8.28757218130042700e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,1,+1.21152765862858885e-04,6,IM,+1.07773916653373525e-27
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,2,RE,-2.21036194592142655e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,2,IM,+6.28791336346144116e-29
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,4,RE,-2.20057200311858707e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,4,IM,+1.25599036701095276e-28
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,6,RE,-2.19769614447273552e-41
YUKAWA,GRID_01,+1.46779926762207055e-05,2,+1.46779926762206892e-04,6,IM,+1.88000936931846799e-28
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,2,RE,-2.76200173928890879e-42
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,2,IM,+7.58117167776081220e-30
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,4,RE,-2.76382343053170424e-42
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,4,IM,+1.51431301213647937e-29
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,6,RE,-2.76084795117455225e-42
YUKAWA,GRID_01,+1.46779926762207055e-05,3,+1.77827941003892270e-04,6,IM,+2.26667175364035963e-29
YUKAWA,GRID_01,+1.46779926762207055e-05,4,+2.15443469003188449e-04,2,RE,+1.37765363909398094e-43
